event_id,cluster_id,event_name,event_type,status,default_vote,amendment_id,controversy_score,signals,route_hint,evidence_grade,included_in_13_seed,independence_unit,source_ids,source_urls,description
known-fixammv1-3,amm,fixAMMv1_3,amendment_candidate,Enabled,No,7CA70A7674A26FA517412858659EBC7EDEEF7D2D608824464E6FDEFD06854E14,14,follow_up_fix|new_financial_primitive|security_or_liveness|user_fund_or_accounting_risk|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixammv1_3|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Adds several fixes to Automated Market Maker code, specifically: Add several invariant checks to ensure that AMMs function as designed.Add rounding to AMM deposit and withdraw to ensure that the AMM's balance meets the invariant:On deposit, tokens out are rounded downward and deposit amount is rounded upward.On withdrawal, tokens in are rounded upward and withdrawal amount is rounded downward.Fix validation of AMMBid transactions to ensure that AuthAccounts cannot contain duplicates or the transaction sender."
known-credentials,permissioned-access,Credentials,amendment_candidate,Enabled,No,1CB67D082CF7D9102412D34258CEDB400E659352D3B207348889297A6D90F5EF,14,asset_control_or_compliance|new_financial_primitive|security_or_liveness|user_fund_or_accounting_risk|default_no_surface,HOLD_FOR_CHALLENGE,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#credentials|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Introduces Credentials, a set of tools for managing authorization and compliance requirements using the XRP Ledger. Adds three new transaction types for managing credentials: CredentialCreate transaction - Create a credential in the ledger.CredentialAccept transaction - Accept a credential issued to you.CredentialDelete transaction - Delete a credential from the ledger. Modifies an existing transaction type: DepositPreauth transaction - Authorizes deposits to your account. Modified to allow credential-based authorization. Adds a new field to several existing transaction types: CredentialIDs field - Credentials to prove authorization to deposit money. Added to Payment, EscrowFinish, PaymentChannelClaim, and AccountDelete transaction types. Adds a new type of ledger entry: Credential ledger entry - Stores a credential in the ledger. Modifies an existing type of ledger entry: DepositPreauth ledger entry - Records authorization for depositing to a specific account; modified to allow for credential-based authorization. Also extends the deposit_authorized API method to check for credential-based auth and extends the ledger_entry method to allow lookup of Credential entries. For more details, see XLS-70: Credentials specification."
known-confidentialtransfer,mpt,ConfidentialTransfer,amendment_candidate,In Development,No,2110E4A19966E2EF517C0A8C56A5F35099D7665B0BB89D7B126B30D50B86AAD5,14,asset_control_or_compliance|new_financial_primitive|security_or_liveness|user_fund_or_accounting_risk|default_no_surface,HOLD_FOR_CHALLENGE,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#confidentialtransfer|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Provides institutional-grade privacy for Multi-Purpose Tokens (MPTs) using advanced cryptography (EC-ElGamal and ZKPs). Individual balances and transfer amounts remain shielded from the public ledger while maintaining compliance mechanisms for authorized parties (issuers, auditors, or designated entities) to verify total supply and meet regulatory obligations. For more details, see XLS-96: Confidential Transfers."
known-tokenescrow,mpt,TokenEscrow,amendment_candidate,Open for Voting,No,138B968F25822EFBF54C00F97031221C47B1EAB8321D93C7C2AEAF85F04EC5DF,13,asset_control_or_compliance|new_financial_primitive|user_fund_or_accounting_risk|active_vote_surface|default_no_surface,HOLD_FOR_CHALLENGE,A,True,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#tokenescrow|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Extends escrow functionality to fungible tokens, enabling Trust Line Tokens and Multi-Purpose Tokens (MPTs) to be held in escrow. Issuers can control whether their tokens can be escrowed through flags. To issue Trust Line Tokens, issuers must enable the Allow TrustLine Locking flag on their account, or the Can Escrow and Can Transfer flags for an MPT issuance. Modifies existing transactions: EscrowCreate - Can now escrow fungible tokens in addition to XRP.EscrowFinish - Can now deliver escrowed fungible tokens to recipients.EscrowCancel - Can now return escrowed fungible tokens to senders.AccountSet - Can now enable the Allow Trust Line Locking flag to allow Trust Line Tokens issued by an account to be escrowed. Updates existing ledger entry types: Escrow - Adds support for fungible token amounts and two new fields; TransferRate and IssuerNode.MPToken - Adds optional LockedAmount field to track tokens in escrow.MPTokenIssuance - Adds optional LockedAmount field to track tokens in escrow.AccountRoot - Adds Allow Trust Line Locking flag. Specification: XLS-85"
known-singleassetvault,vault-lending,SingleAssetVault,amendment_candidate,Open for Voting,No,81BD2619B6B3C8625AC5D0BC01DE17F06C3F0AB95C7C87C93715B87A4FD240D8,13,asset_control_or_compliance|new_financial_primitive|user_fund_or_accounting_risk|active_vote_surface|default_no_surface,HOLD_FOR_CHALLENGE,A,True,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#singleassetvault|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,Creates a structure for aggregating assets from multiple depositors. This is intended to be used with the on-chain Lending Protocol. New ledger entry types: Vault entry New transactions: VaultClawback transactionVaultCreate transactionVaultDelete transactionVaultDeposit transactionVaultSet transactionVaultWithdraw transaction New API methods: vault_info method Specification: XLS-65.
known-permissioneddomains,permissioned-access,PermissionedDomains,amendment_candidate,Open for Voting,No,A730EB18A9D4BB52502C898589558B4CCEB4BE10044500EE5581137A2E80E849,13,asset_control_or_compliance|new_financial_primitive|user_fund_or_accounting_risk|active_vote_surface|default_no_surface,HOLD_FOR_CHALLENGE,A,True,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#permissioneddomains|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Permissioned domains are controlled environments within the broader ecosystem of the XRP Ledger blockchain. Domains do nothing on their own, but features such as Permissioned DEXes and Lending Protocols can use domains to restrict access, so that traditional financial institutions can offer services on chain while complying with various compliance rules. This amendment creates a new ledger entry type, PermissionedDomain, and new transactions, PermissionedDomainSet (creates or modifies permissioned domains) and PermissionedDomainDelete (deletes permissioned domains)."
known-permissioneddex,permissioned-access,PermissionedDEX,amendment_candidate,Open for Voting,No,677E401A423E3708363A36BA8B3A7D019D21AC5ABD00387BDBEA6BDE4C91247E,13,asset_control_or_compliance|new_financial_primitive|user_fund_or_accounting_risk|active_vote_surface|default_no_surface,HOLD_FOR_CHALLENGE,A,True,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#permissioneddex|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Creates Permissioned DEXes, controlled environments for trading within the XRP Ledger's decentralized exchange (DEX). Trading in a permissioned DEX works like trading in the open DEX, except that a permissioned domain controls who can place and accept offers. Specification: XLS-81"
known-permissiondelegation,permissioned-access,PermissionDelegation,amendment_candidate,Obsolete,No,AE6AB9028EEB7299EBB03C7CBCC3F2A4F5FBE00EA28B8223AA3118A0B436C1C5,13,known_bug|asset_control_or_compliance|obsolete_or_disabled|default_no_surface,REJECT,A,True,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#permissiondelegation|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,Allows accounts to delegate some permissions to other accounts. Specification: XLS-75. This amendment was disabled in v2.6.1 due to a bug. It will be replaced by PermissionDelegationV1_1 in a future release.
known-paychan,custody-timing,PayChan,amendment_candidate,Enabled,Yes,08DE7D96082187F6E6578530258C77FAABABE4C20474BDB82F04B021F1A68647,13,asset_control_or_compliance|new_financial_primitive|security_or_liveness|user_fund_or_accounting_risk,HOLD_FOR_CHALLENGE,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#paychan|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Creates ""Payment Channels"" for XRP. Payment channels are a tool for facilitating repeated, unidirectional payments or temporary credit between two parties. This feature is expected to be useful for the Interledger Protocol. One party creates a Payment Channel and sets aside some XRP in that channel for a predetermined expiration. Then, through off-ledger secure communications, the sender can send ""Claim"" messages to the receiver. The receiver can redeem the Claim messages before the expiration, or choose not to in case the payment is not needed. The receiver can verify Claims individually without actually distributing them to the network and waiting for the consensus process to redeem them, then redeem the combined content of many small Claims later, as long as it is within the expiration. Creates three new transaction types: PaymentChannelCreate, PaymentChannelClaim, and PaymentChannelFund. Creates a new ledger object type, PayChannel. Defines an off-ledger data structure called a Claim; the PaymentChannelClaim uses a signature for this data structure. Creates new rippled API methods: channel_authorize (creates a signed Claim), channel_verify (verifies a signed Claim), and account_channels (lists Channels associated with an account). For more information, see the Payment Channels Tutorial."
known-ownerpaysfee,dex-offer-path,OwnerPaysFee,amendment_candidate,Obsolete,N/A,9178256A980A86CF3D70D0260A7DA6402AAFE43632FDBCB88037978404188871,13,follow_up_fix|new_financial_primitive|obsolete_or_disabled|user_fund_or_accounting_risk,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#ownerpaysfee|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Fixes an inconsistency in the way transfer fees are calculated between OfferCreate and Payment transaction types. Without this amendment, the holder of the token pays the transfer fee if an offer is executed in offer placement, but the initial sender of a transaction pays the transfer fees for offers that are executed as part of payment processing. With this amendment, the holder of the token always pays the transfer fee, regardless of whether the offer is executed as part of a Payment or an OfferCreate transaction. Offer processing outside of payments is unaffected. This Amendment requires the Flow Amendment to be enabled. An incomplete version of this amendment was introduced in v0.33.0 and removed in v0.80.0. (It was never enabled.)"
known-nonfungibletokensv1,nft,NonFungibleTokensV1,amendment_candidate,Obsolete,No,3C43D9A973AA4443EF3FC38E42DD306160FBFFDAB901CD8BAA15D09F2597EB87,13,new_financial_primitive|obsolete_or_disabled|security_or_liveness|user_fund_or_accounting_risk|default_no_surface,HOLD_FOR_CHALLENGE,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#nonfungibletokensv1|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Adds native support for non-fungible tokens. Standards Draft: XLS-20d. There are several known issues with this amendment including one that can cause tecINVARIANT_FAILED errors to appear in the ledger. It has been replaced by the NonFungibleTokensV1_1 amendment. This amendment adds 5 new transaction types: NFTokenAcceptOfferNFTokenBurnNFTokenCancelOfferNFTokenCreateOfferNFTokenMint It also adds 2 new ledger object types: NFTokenOffer objectNFTokenPage object Additionally, it modifies the AccountRoot object type to add 3 new optional fields: MintedNFTokens, BurnedNFTokens, and NFTokenMinter. It also modifies the AccountSet transaction type to allow you to set the NFTokenMinter field."
known-fixxchainrewardrounding,cross-chain,fixXChainRewardRounding,amendment_candidate,Open for Voting,No,2BF037D90E1B676B17592A8AF55E88DB465398B4B597AE46EECEE1399AB05699,13,follow_up_fix|new_financial_primitive|user_fund_or_accounting_risk|active_vote_surface|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixxchainrewardrounding|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"This amendment ensures that reward shares for cross-chain transactions are always rounded down. This preserves the original intended behavior. Without this amendment, the XChainBridge amendment has an incompatibility with the fixUniversalNumber amendment. When those two amendments are both enabled, the Number type may be used for some intermediate calculations of token amounts. In some cases, values that used to round down instead are rounded to nearest, which alters the intended rounding behavior for reward shares in cross-chain transactions. This amendment restores the intended rounding behavior. It has no effect unless both the XChainBridge and fixUniversalNumber amendments are also enabled."
known-fixpriceoracleorder,protocol-cleanup,fixPriceOracleOrder,amendment_candidate,Open for Voting,No,FF2D1E13CF6D22427111B967BD504917F63A900CECD320D6FD3AC9FA90344631,13,follow_up_fix|new_financial_primitive|security_or_liveness|active_vote_surface|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixpriceoracleorder|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Fixes an issue where the order of asset pair data is different from when a price oracle is created versus when it is updated. This amendment ensures asset pairs follow a canonical order at all times, so you can predictably look up asset prices."
known-fixmptdeliveredamount,mpt,fixMPTDeliveredAmount,amendment_candidate,Open for Voting,No,AB8D932A5F338903FE5BCBD80B611FFED70839ABA3170E9CE01D947C0EDEDCF2,13,follow_up_fix|new_financial_primitive|user_fund_or_accounting_risk|active_vote_surface|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixmptdeliveredamount|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"This amendment adds missing DeliveredAmount and delivered_amount metadata fields from direct MPT Payment transactions. Without this amendment, direct MPT payments deliver the full amount but do not have the metadata fields to summarize how much was delivered."
known-fixincludekeyletfields,custody-timing,fixIncludeKeyletFields,amendment_candidate,Open for Voting,No,6143A27B71F7DAF9330ECA7C5EC3D54C8083A4FDEF7016737EEC06AB61E82EE0,13,follow_up_fix|new_financial_primitive|security_or_liveness|active_vote_surface|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixincludekeyletfields|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"This amendment adds fields to ledger entries in cases where those fields are part of the identifying information that forms their ledger entry ID: Add a Sequence field to Escrow and PayChannel entries.Add an Owner field to SignerList entries.Add an OracleDocumentID field to Oracle entries. Without this amendment, some ledger entries do not store all the data that was used to create their ledger entry ID. After this amendment is enabled, ledger entries of those types have those fields added when the ledger entry is created or modified. Ledger entries that were created before the amendment are not changed until a transaction modifies them. The presence of a Sequence field on Escrow ledger entries is especially useful since you need that value to finish or cancel the escrow, and you otherwise might have to look up the sequence number of the transaction that created the escrow."
known-invariantsv1-1,amm,InvariantsV1_1,amendment_candidate,In Development,No,D8ED3BE0B2673496CB49DE8B5588C8805DF7B1DE203F38FE0367ACE703D36C0F,12,known_bug|new_financial_primitive|security_or_liveness|default_no_surface,HOLD_FOR_CHALLENGE,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#invariantsv1_1|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"This amendment adds several new invariants to protect the ledger against bugs in transaction processing. The developers intend to set it as open for voting after a set of several invariants are implemented. The invariants included are as follows: When deleting an account, ensure that certain types of ledger entries are also deleted, including that account's DirectoryNode, SignerList, NFTokenPage, and AMM directories, if any, are deleted with it."
known-fixtakerdryofferremoval,dex-offer-path,fixTakerDryOfferRemoval,amendment_candidate,Enabled,Yes,2CD5286D8D687E98B41102BDD797198E81EA41DF7BD104E6561FEB104EFF2561,12,known_bug|follow_up_fix|user_fund_or_accounting_risk,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixtakerdryofferremoval|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Fixes a bug in auto-bridging that can leave a dry offer in the XRP Ledger. A dry offer is an offer that, if crossed, cannot yield any funds. Without this fix, the dry offer remains on the ledger and counts toward its owner's reserve requirement without providing any benefit to the owner. Another offer crossing of the right type and quality can remove the dry offer. However, if the required offer crossing type and quality are rare, it may take a while for the dry offer to be removed. With this amendment enabled, the XRP Ledger removes these dry offers when they're matched in auto-bridging."
known-fixqualityupperbound,protocol-cleanup,fixQualityUpperBound,amendment_candidate,Enabled,Yes,89308AF3B8B10B7192C4E613E1D2E4D9BA64B2EE2D5232402AE82A6A7220D953,12,known_bug|follow_up_fix|user_fund_or_accounting_risk,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixqualityupperbound|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,Fixes a bug in unused code for estimating the ratio of input to output of individual steps in cross-currency payments. This amendment has no known impact on transaction processing.
known-fixmasterkeyasregularkey,auth-identity,fixMasterKeyAsRegularKey,amendment_candidate,Enabled,Yes,C4483A1896170C66C098DEA5B0E024309C60DC960DE5F01CD7AF986AA3D9AD37,12,known_bug|follow_up_fix|security_or_liveness,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixmasterkeyasregularkey|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Fixes a bug where accounts can set their regular key pair to match their master key pair, but cannot send transactions signed by the key if the master key is disabled. Without this fix, a user can unintentionally blackhole their account by setting the regular key to match the master key, then disabling the master key. The network rejects transactions signed with the both-master-and-regular key pair because the code interprets them as being signed with the disabled master key before it recognizes that they are signed by the currently-enabled regular key. With this amendment enabled, a SetRegularKey transaction cannot set the regular key to match the master key; such a transaction results in the transaction code temBAD_REGKEY. Additionally, this amendment changes the signature verification code so that accounts which already have their regular key set to match their master key can send transactions successfully using the key pair."
known-fixdisallowincomingv1,issuer-control,fixDisallowIncomingV1,amendment_candidate,Enabled,No,15D61F0C6DB6A2F86BCF96F1E2444FEC54E705923339EC175BD3E517C8B3FF91,12,asset_control_or_compliance|follow_up_fix|security_or_liveness|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixdisallowincomingv1|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"This amendment fixes an issue with approving trustlines after a user enables the lsfDisallowIncomingTrustline flag on their account. To recreate this issue: An issuer sets asfRequireAuth on their account.The user sets asfDisallowIncomingTrustline on their account.The user submits a SetTrust transaction to the issuer.The issuer is unable to authorize the trustline. With this amendment, the issuer can now authorize the trustline. This amendment has no effect unless the DisallowIncoming amendment is enabled."
known-fixamendmentmajoritycalc,protocol-cleanup,fixAmendmentMajorityCalc,amendment_candidate,Enabled,Yes,4F46DF03559967AC60F2EB272FEFE3928A7594A45FF774B87A7E540DB0F8F068,12,known_bug|follow_up_fix|security_or_liveness,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixamendmentmajoritycalc|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Fixes a bug that could cause an amendment to achieve a majority and later activate with support of slightly less than 80% of trusted validators due to rounding semantics. Without this amendment, the minimum threshold for amendment activation is any value that rounds to 204/256 of trusted validators, which depends on the number of trusted validators at the time. For example, an amendment could activate with exactly 28 out of 36 validators (approximately 77.8%). With this amendment, the actual minimum number of validators needed is never less than 80% of trusted validators."
known-fix1528,consensus-liveness,fix1528,amendment_candidate,Enabled,Yes,1D3463A5891F9E589C5AE839FFAC4A917CE96197098A1EF22304E1BC5B98A454,12,known_bug|follow_up_fix|security_or_liveness,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fix1528|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Fixes a bug where validators could build consensus ledgers with different timestamps, potentially delaying the process of declaring validated ledgers. The circumstances for this to occur require precise timing, so this bug is unlikely to happen outside of controlled test conditions. This amendment changes how validators negotiate the close time of the consensus ledger so that they cannot reach a consensus on ledger contents but build ledger versions with different timestamps."
known-fix1513,dex-offer-path,fix1513,amendment_candidate,Enabled,Yes,67A34F2CF55BFC0F93AACD5B281413176FEE195269FA6D95219A2DF738671172,12,known_bug|follow_up_fix|user_fund_or_accounting_risk,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fix1513|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Fixes a bug that resulted in transaction processing not using new STAmountCalcSwitchovers code when the FeeEscalation amendment is enabled. With this amendment, the new STAmountCalcSwitchovers code applies, which may cause slight changes to transaction processing due to calculation differences. Amounts may be rounded differently and offers may be executed in a different order as a result."
known-fix1512,consensus-liveness,fix1512,amendment_candidate,Enabled,Yes,6C92211186613F9647A89DFFBAB8F94C99D4C7E956D495270789128569177DA1,12,known_bug|follow_up_fix|user_fund_or_accounting_risk,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fix1512|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Fixes a bug in transaction processing that causes some invalid PaymentChannelClaim transactions to fail with the wrong error code. Without this amendment, the transactions have a tec-class result code despite not being included in a ledger. With this amendment, the transactions fail with a more appropriate result code, temBAD_AMOUNT, instead."
known-fix1373,protocol-cleanup,fix1373,amendment_candidate,Enabled,Yes,42EEA5E28A97824821D4EF97081FE36A54E9593C6E4F20CBAE098C69D2E072DC,12,known_bug|follow_up_fix|user_fund_or_accounting_risk,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fix1373|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Fixes a minor bug in transaction processing that causes failures when trying to prepare certain payment paths for processing. As a result, payments could not use certain paths that should have been valid but were invalidly prepared. Without this amendment, those payments are forced to use less-preferable paths or may even fail. The fix1373 amendment corrects the issue so that the paths are properly prepared and payments can use them. It also disables some inappropriate paths that are currently allowed, including paths whose steps include conflicting fields and paths that loop through the same object more than once."
known-fix1368,protocol-cleanup,fix1368,amendment_candidate,Enabled,Yes,E2E6F2866106419B88C50045ACE96368558C345566AC8F2BDF5A5B5587F0E6FA,12,known_bug|follow_up_fix|user_fund_or_accounting_risk,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fix1368|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Fixes a minor bug in transaction processing that causes some payments to fail when they should be valid. Specifically, during payment processing, some payment steps that are expected to produce a certain amount of currency may produce a microscopically different amount, due to a loss of precision related to floating-point number representation. When this occurs, those payments fail because they cannot deliver the exact amount intended. The fix1368 amendment corrects transaction processing so payments can no longer fail in this manner."
known-clawback,issuer-control,Clawback,amendment_candidate,Enabled,No,56B241D7A43D40354D02A9DC4C8DF5C7A1F930D92A9035C4E12291B3CA3E1C2B,11,asset_control_or_compliance|new_financial_primitive|user_fund_or_accounting_risk|default_no_surface,HOLD_FOR_CHALLENGE,A,True,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#clawback|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"For regulatory purposes, some issuers must have the ability to recover issued tokens after they are distributed to accounts. For example, if an issuer were to discover that tokens were sent to an account sanctioned for illegal activity, the issuer could recover, or claw back the funds. Clawback is disabled by default. To use clawback, you must set the lsfAllowTrustLineClawback flag using an AccountSet transaction. See Clawback for details on this amendment."
known-ammclawback,amm,AMMClawback,amendment_candidate,Enabled,No,726F944886BCDF7433203787E93DD9AA87FAB74DFE3AF4785BA03BEFC97ADA1F,11,asset_control_or_compliance|new_financial_primitive|user_fund_or_accounting_risk|default_no_surface,HOLD_FOR_CHALLENGE,A,True,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#ammclawback|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Allows tokens with clawback enabled to be used in Automated Market Makers (AMMs). Adds a new transaction: AMMClawback - allows an issuer to claw back tokens that have been deposited in an AMM, if the token has clawback enabled. Also modifies the AMMDeposit transaction type to prevent depositing frozen tokens into the AMM. For details, see the XLS-73: AMMClawback specification."
incident-transaction-set-liveness-2025,consensus-liveness,Transaction set handling liveness disclosure,vulnerability_response,fixed in release before public disclosure,,,11,known_bug|security_or_liveness|public_debate,DELAY_FOR_FIX,A,False,real_public_incident_or_release_response,xrpl_transaction_set_liveness_2026,https://xrpl.org/blog/2026/vulnerabilitydisclosurereport-bug-mar2026,Official disclosure says transaction-set handling vulnerabilities affected liveness and fixes were released in rippled 3.0.0.
known-mptokensv2,amm,MPTokensV2,amendment_candidate,In Development,No,BE2D87DF21B690ED1497B593FDC013CC04276302380B1BD50A033DCF8DEFB2EB,11,asset_control_or_compliance|new_financial_primitive|user_fund_or_accounting_risk|default_no_surface,HOLD_FOR_CHALLENGE,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#mptokensv2|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Extends the XRPL's Decentralized Exchange to natively support Multi-Purpose Tokens (MPTs) as a tradeable asset class. MPTs can be paired with XRP, Trust Line tokens, or other MPTs across existing DEX transactions such as OfferCreate, Payment, AMM, and Checks. For more details, see XLS-82: MPT DEX Integration."
